target_domain,referring_domain,link_type,confidence,disavow_entry,action,notes
amzbuydeal.com,urlw4ebc.com,Spam Redirect,High,domain:urlw4ebc.com,Disavow,Spam/redirect domain in network
amzbuydeal.com,w2fr.com,Mirror Network,Verified,domain:w2fr.com,Disavow,Cross-domain mirror/scraper network host
amzbuydeal.com,webpagebookmark.com,Bookmark Spam,High,domain:webpagebookmark.com,Disavow,Pligg bookmark network member
amzbuydeal.com,website.informer.com,Stat Scraper,Verified,domain:website.informer.com,Disavow,Website stat/info scraper
amzbuydeal.com,gweb.com,Low-Quality Directory,Likely,domain:gweb.com,Review in GSC first,User-generated directory listing; verify in GSC
amzbuydeal.com,qqkz.com,SEO Scraper,Likely,domain:qqkz.com,Review in GSC first,SEO query/scraper site; verify in GSC
amzbuydeal.com,cutestat.com,Stat Scraper,Likely,domain:cutestat.com,Review in GSC first,Domain stat mirror site; verify in GSC
amzbuydeal.com,hypestat.com,Stat Scraper,Likely,domain:hypestat.com,Review in GSC first,Domain stat/scraper site; verify in GSC
amzbuydeal.com,webstatsdomain.org,Stat Scraper,Likely,domain:webstatsdomain.org,Review in GSC first,Backlink stat scraper; verify in GSC
daytribune.com,sur.ly,Stat Scraper,Verified,domain:sur.ly,Disavow,Link preview/stat scraper site
daytribune.com,website.informer.com,Stat Scraper,Verified,domain:website.informer.com,Disavow,Website stat/info scraper
daytribune.com,cutestat.com,Stat Scraper,Likely,domain:cutestat.com,Review in GSC first - legitimate news site,Domain stat mirror (jobs.dailytribune.com.cutestat.com); verify in GSC
daytribune.com,hypestat.com,Stat Scraper,Likely,domain:hypestat.com,Review in GSC first - legitimate news site,Domain stat/scraper site; verify in GSC
daytribune.com,webstatsdomain.org,Stat Scraper,Likely,domain:webstatsdomain.org,Review in GSC first - legitimate news site,Backlink stat scraper; verify in GSC
daytribune.com,accessify.com,Stat Scraper,Likely,domain:accessify.com,Review in GSC first - legitimate news site,Site analysis scraper; verify in GSC
daytribune.com,deets.feedreader.com,Stat Scraper,Likely,domain:deets.feedreader.com,Review in GSC first - legitimate news site,Feed/stat scraper; verify in GSC
getfestify.com,sur.ly,Stat Scraper,Verified,domain:sur.ly,Disavow,Link preview/stat scraper site
getfestify.com,website.informer.com,Stat Scraper,Verified,domain:website.informer.com,Disavow,Website stat/info scraper
getfestify.com,cutestat.com,Stat Scraper,Likely,domain:cutestat.com,Review in GSC first,Domain stat mirror site; verify in GSC before disavowing
getfestify.com,hypestat.com,Stat Scraper,Likely,domain:hypestat.com,Review in GSC first,Domain stat/scraper site; verify in GSC before disavowing
nuision.com,sur.ly,Stat Scraper,Verified,domain:sur.ly,Disavow,Link preview/stat scraper site
nuision.com,website.informer.com,Stat Scraper,Verified,domain:website.informer.com,Disavow,Website stat/info scraper
nuision.com,cutestat.com,Stat Scraper,Likely,domain:cutestat.com,Review in GSC first,Domain stat mirror site; verify in GSC
nuision.com,deets.feedreader.com,Stat Scraper,Likely,domain:deets.feedreader.com,Review in GSC first,Feed/stat scraper; verify in GSC
